Date,Close/Last,Open,High,Low,Name
2022-12-20,32849.74,32735.24,32992.23,32649.45,Dow Jones Industrial Average
2022-12-19,32757.54,32921.45,33038.94,32581.97,Dow Jones Industrial Average
2022-12-16,32920.46,33166.46,33166.46,32654.59,Dow Jones Industrial Average
2022-12-15,33202.22,33773.0,33773.0,33016.16,Dow Jones Industrial Average
2022-12-14,33966.35,34086.07,34395.65,33704.17,Dow Jones Industrial Average
2022-12-13,34108.64,34268.44,34712.28,33890.88,Dow Jones Industrial Average
2022-12-12,34005.04,33519.5,34005.04,33519.5,Dow Jones Industrial Average
2022-12-09,33476.46,33746.71,33844.63,33462.65,Dow Jones Industrial Average
2022-12-08,33781.48,33695.97,33899.17,33642.46,Dow Jones Industrial Average
2022-12-07,33597.92,33556.4,33774.27,33503.67,Dow Jones Industrial Average
2022-12-06,33596.34,33936.87,34006.63,33418.59,Dow Jones Industrial Average
2022-12-05,33947.1,34335.73,34335.73,33846.81,Dow Jones Industrial Average
2022-12-02,34429.88,34265.45,34483.21,34039.73,Dow Jones Industrial Average
2022-12-01,34395.01,34533.59,34595.51,34129.35,Dow Jones Industrial Average
2022-11-30,34589.77,33795.43,34589.77,33583.77,Dow Jones Industrial Average
2022-11-29,33852.53,33847.8,33933.91,33662.45,Dow Jones Industrial Average
2022-11-28,33849.46,34275.91,34303.88,33799.35,Dow Jones Industrial Average
2022-11-25,34347.03,34213.04,34386.51,34199.57,Dow Jones Industrial Average
2022-11-23,34194.06,34091.57,34262.07,34004.64,Dow Jones Industrial Average
2022-11-22,34098.1,33810.05,34115.7,33810.05,Dow Jones Industrial Average
2022-11-21,33700.28,33760.3,33864.59,33559.18,Dow Jones Industrial Average
2022-11-18,33745.69,33606.59,33827.94,33540.64,Dow Jones Industrial Average
2022-11-17,33546.32,33329.27,33616.02,33239.75,Dow Jones Industrial Average
2022-11-16,33553.83,33554.93,33682.83,33516.99,Dow Jones Industrial Average
2022-11-15,33592.92,33755.94,33987.06,33320.2,Dow Jones Industrial Average
2022-11-14,33536.7,33662.05,33964.3,33533.96,Dow Jones Industrial Average
2022-11-11,33747.86,33797.75,33817.96,33394.43,Dow Jones Industrial Average
2022-11-10,33715.37,33263.91,33727.73,33167.82,Dow Jones Industrial Average
2022-11-09,32513.94,33004.47,33065.11,32478.87,Dow Jones Industrial Average
2022-11-08,33160.83,32934.56,33355.39,32831.46,Dow Jones Industrial Average
2022-11-07,32827.0,32454.1,32895.59,32424.99,Dow Jones Industrial Average
2022-11-04,32403.22,32265.01,32611.52,31938.92,Dow Jones Industrial Average
2022-11-03,32001.25,31985.05,32185.71,31727.05,Dow Jones Industrial Average
2022-11-02,32147.76,32576.28,33071.93,32139.77,Dow Jones Industrial Average
2022-11-01,32653.2,32862.79,32975.48,32485.23,Dow Jones Industrial Average
2022-10-31,32732.95,32754.27,32883.86,32586.93,Dow Jones Industrial Average
2022-10-28,32861.8,32204.31,32889.81,32158.38,Dow Jones Industrial Average
2022-10-27,32033.28,32062.14,32388.42,31993.21,Dow Jones Industrial Average
2022-10-26,31839.11,31738.44,32172.42,31738.44,Dow Jones Industrial Average
2022-10-25,31836.74,31463.65,31876.15,31423.53,Dow Jones Industrial Average
2022-10-24,31499.62,31187.32,31603.63,31161.41,Dow Jones Industrial Average
2022-10-21,31082.56,30291.18,31119.27,30206.28,Dow Jones Industrial Average
2022-10-20,30333.59,30411.92,30822.96,30265.2,Dow Jones Industrial Average
2022-10-19,30423.81,30439.04,30662.11,30226.9,Dow Jones Industrial Average
2022-10-18,30523.8,30697.52,30837.9,30301.83,Dow Jones Industrial Average
2022-10-17,30185.82,30059.58,30311.95,29997.62,Dow Jones Industrial Average
2022-10-14,29634.83,30192.21,30428.82,29614.3,Dow Jones Industrial Average
2022-10-13,30038.72,28755.83,30168.54,28660.94,Dow Jones Industrial Average
2022-10-12,29210.85,29233.06,29455.12,29136.03,Dow Jones Industrial Average
2022-10-11,29239.19,29085.2,29608.42,29074.23,Dow Jones Industrial Average
2022-10-10,29202.88,29419.09,29485.82,29010.41,Dow Jones Industrial Average
2022-10-07,29296.79,29685.27,29685.27,29142.66,Dow Jones Industrial Average
2022-10-06,29926.94,30206.13,30329.61,29859.34,Dow Jones Industrial Average
2022-10-05,30273.87,30078.36,30454.46,29886.44,Dow Jones Industrial Average
2022-10-04,30316.32,29826.67,30325.05,29826.67,Dow Jones Industrial Average
2022-10-03,29490.89,28855.25,29647.79,28855.25,Dow Jones Industrial Average
2022-09-30,28725.51,29123.03,29355.78,28715.85,Dow Jones Industrial Average
2022-09-29,29225.61,29513.73,29513.73,28997.34,Dow Jones Industrial Average
2022-09-28,29683.74,29198.92,29811.78,29114.97,Dow Jones Industrial Average
2022-09-27,29134.99,29419.88,29659.12,28958.22,Dow Jones Industrial Average
2022-09-26,29260.81,29536.84,29630.77,29161.12,Dow Jones Industrial Average
2022-09-23,29590.41,29955.65,29955.65,29250.47,Dow Jones Industrial Average
2022-09-22,30076.68,30204.52,30302.28,29994.53,Dow Jones Industrial Average
2022-09-21,30183.78,30819.39,31020.79,30181.99,Dow Jones Industrial Average
2022-09-20,30706.23,30888.53,30888.53,30465.91,Dow Jones Industrial Average
2022-09-19,31019.68,30722.86,31026.89,30559.37,Dow Jones Industrial Average
2022-09-16,30822.42,30866.61,30866.61,30550.08,Dow Jones Industrial Average
2022-09-15,30961.82,31124.68,31277.69,30882.08,Dow Jones Industrial Average
2022-09-14,31135.09,31141.02,31276.82,30885.02,Dow Jones Industrial Average
2022-09-13,31104.97,32006.5,32006.5,31018.54,Dow Jones Industrial Average
2022-09-12,32381.34,32159.49,32504.04,32159.49,Dow Jones Industrial Average
2022-09-09,32151.71,31876.22,32227.74,31876.22,Dow Jones Industrial Average
2022-09-08,31774.52,31481.95,31783.37,31321.5,Dow Jones Industrial Average
2022-09-07,31581.28,31145.63,31644.34,31095.21,Dow Jones Industrial Average
2022-09-06,31145.3,31343.79,31463.89,31048.46,Dow Jones Industrial Average
2022-09-02,31318.44,31848.5,32026.9,31182.09,Dow Jones Industrial Average
2022-09-01,31656.42,31454.58,31677.51,31219.75,Dow Jones Industrial Average
2022-08-31,31510.43,31827.15,31966.04,31509.59,Dow Jones Industrial Average
2022-08-30,31790.87,32163.84,32205.66,31647.22,Dow Jones Industrial Average
2022-08-29,32098.99,32188.0,32325.16,31972.79,Dow Jones Industrial Average
2022-08-26,32283.4,33293.43,33364.7,32278.22,Dow Jones Industrial Average
2022-08-25,33291.78,33029.27,33306.09,32889.85,Dow Jones Industrial Average
2022-08-24,32969.23,32899.01,33095.5,32828.56,Dow Jones Industrial Average
2022-08-23,32909.59,33033.52,33138.26,32858.89,Dow Jones Industrial Average
2022-08-22,33063.61,33586.59,33586.59,33007.63,Dow Jones Industrial Average
2022-08-19,33706.74,33904.69,33904.69,33627.09,Dow Jones Industrial Average
2022-08-18,33999.04,33981.86,34043.83,33844.46,Dow Jones Industrial Average
2022-08-17,33980.32,34029.55,34161.01,33828.41,Dow Jones Industrial Average
2022-08-16,34152.01,33924.35,34281.36,33852.57,Dow Jones Industrial Average
2022-08-15,33912.44,33710.7,33954.71,33582.96,Dow Jones Industrial Average
2022-08-12,33761.05,33430.72,33767.09,33398.32,Dow Jones Industrial Average
2022-08-11,33336.67,33451.51,33651.8,33289.83,Dow Jones Industrial Average
2022-08-10,33309.51,33130.63,33364.41,33130.63,Dow Jones Industrial Average
2022-08-09,32774.41,32807.36,32877.53,32702.66,Dow Jones Industrial Average
2022-08-08,32832.54,32877.36,33109.96,32769.1,Dow Jones Industrial Average
2022-08-05,32803.47,32593.9,32814.61,32489.62,Dow Jones Industrial Average
2022-08-04,32726.82,32805.69,32829.22,32652.63,Dow Jones Industrial Average
2022-08-03,32812.5,32514.21,32912.74,32514.21,Dow Jones Industrial Average
2022-08-02,32396.17,32691.29,32772.93,32387.12,Dow Jones Industrial Average
2022-08-01,32798.4,32755.71,32972.03,32640.79,Dow Jones Industrial Average
2022-07-29,32845.13,32515.62,32910.18,32493.02,Dow Jones Industrial Average
2022-07-28,32529.63,32197.62,32609.54,31982.61,Dow Jones Industrial Average
2022-07-27,32197.59,31865.05,32336.23,31799.43,Dow Jones Industrial Average
2022-07-26,31761.54,31950.04,31950.04,31705.36,Dow Jones Industrial Average
2022-07-25,31990.04,31950.93,32029.03,31821.67,Dow Jones Industrial Average
2022-07-22,31899.29,32167.92,32219.25,31731.47,Dow Jones Industrial Average
2022-07-21,32036.9,31826.49,32040.63,31534.08,Dow Jones Industrial Average
2022-07-20,31874.84,31829.99,31944.45,31646.95,Dow Jones Industrial Average
