Date,Close/Last,Volume,Open,High,Low,Name
2022-11-18,87.62,33772.0,89.98,90.61,85.79,Brent Crude Oil
2022-11-17,89.78,27769.0,92.8,92.88,89.54,Brent Crude Oil
2022-11-16,92.86,21745.0,93.76,94.78,91.68,Brent Crude Oil
2022-11-15,93.86,30040.0,92.53,95.75,91.53,Brent Crude Oil
2022-11-14,93.14,22531.0,95.97,96.92,92.49,Brent Crude Oil
2022-11-11,95.99,23277.0,93.27,96.92,93.27,Brent Crude Oil
2022-11-10,93.67,28957.0,92.54,94.31,91.69,Brent Crude Oil
2022-11-09,92.65,25654.0,95.01,95.69,92.3,Brent Crude Oil
2022-11-08,95.36,27248.0,98.0,95.74,94.98,Brent Crude Oil
2022-11-07,97.92,21760.0,97.78,99.56,96.7,Brent Crude Oil
2022-11-04,98.57,30706.0,94.48,98.69,98.49,Brent Crude Oil
2022-11-03,94.67,20460.0,95.66,94.55,94.38,Brent Crude Oil
2022-11-02,96.16,26700.0,94.67,96.47,93.99,Brent Crude Oil
2022-11-01,94.65,19882.0,92.8,95.55,92.36,Brent Crude Oil
2022-10-31,94.83,377.0,96.0,96.0,94.32,Brent Crude Oil
2022-10-28,95.77,5071.0,96.78,96.89,95.0,Brent Crude Oil
2022-10-27,96.96,11302.0,96.16,97.28,95.08,Brent Crude Oil
2022-10-26,95.69,13318.0,93.25,96.19,92.04,Brent Crude Oil
2022-10-25,93.52,20434.0,93.56,94.37,91.63,Brent Crude Oil
2022-10-24,93.26,24317.0,93.61,94.44,91.21,Brent Crude Oil
2022-10-21,93.5,24869.0,92.79,93.8,91.02,Brent Crude Oil
2022-10-20,92.38,35812.0,92.51,94.77,91.92,Brent Crude Oil
2022-10-19,92.41,41724.0,90.79,92.84,89.38,Brent Crude Oil
2022-10-18,90.03,38950.0,92.02,92.65,88.77,Brent Crude Oil
2022-10-17,91.62,22979.0,91.71,93.23,90.84,Brent Crude Oil
2022-10-14,91.63,27392.0,94.75,95.11,91.27,Brent Crude Oil
2022-10-13,94.57,30912.0,92.47,94.9,91.09,Brent Crude Oil
2022-10-12,92.45,27208.0,93.69,95.17,91.58,Brent Crude Oil
2022-10-11,94.29,29551.0,96.15,96.45,93.11,Brent Crude Oil
2022-10-10,96.19,23744.0,98.7,98.76,95.62,Brent Crude Oil
2022-10-07,97.92,34099.0,94.99,98.59,97.63,Brent Crude Oil
2022-10-06,94.42,24970.0,93.83,95.01,92.73,Brent Crude Oil
2022-10-05,93.37,34456.0,91.65,93.97,90.9,Brent Crude Oil
2022-10-04,91.8,37828.0,88.89,92.39,91.36,Brent Crude Oil
2022-10-03,88.86,37315.0,86.51,89.83,87.1,Brent Crude Oil
2022-09-30,87.96,273.0,88.56,87.97,87.97,Brent Crude Oil
2022-09-29,88.49,5306.0,88.95,89.9,87.94,Brent Crude Oil
2022-09-28,89.32,8982.0,85.83,89.49,87.42,Brent Crude Oil
2022-09-27,86.27,9189.0,83.91,87.12,85.08,Brent Crude Oil
2022-09-26,84.06,13248.0,86.72,84.57,83.63,Brent Crude Oil
2022-09-23,86.15,18412.0,90.35,86.75,85.46,Brent Crude Oil
2022-09-22,90.46,21806.0,89.92,90.97,89.97,Brent Crude Oil
